wellid,YEAR,AF Pumped
321845111004501,1988,562.0
321845111004501,1989,607.6
321845111004501,1990,573.4
321845111004501,1991,662.27
321845111004501,1992,559.0
321845111004501,1993,664.0
321845111004501,1994,640.0
321845111004501,1995,729.2
321845111004501,1996,744.8
321845111004501,1997,695.6
321845111004501,1998,662.1
321845111004501,1999,516.3
321845111004501,2000,502.3
321845111004501,2001,662.1
321845111004501,2002,654.0
321845111004501,2003,711.5
321845111004501,2004,299.54
321845111004501,2005,646.98
321845111004501,2006,680.36
321845111004501,2007,780.0
321845111004501,2008,828.5
321845111004501,2009,786.34
321845111004501,2010,845.36
321845111004501,2011,561.75
321845111004501,2012,772.92
321845111004501,2013,640.61
321845111004501,2014,467.6
321845111004501,2015,467.87
321845111004501,2016,496.81
321845111004501,2017,334.81
321846110592801,1984,12.64
321846110592801,1985,117.0
321846110592801,1986,105.0
321846110592801,1987,135.0
321846110592801,1988,85.7
321846110592801,1989,68.4
321846110592801,1990,55.2
321846110592801,1991,80.81
321846110592801,1992,74.0
321846110592801,1993,107.0
321846110592801,1994,184.0
321846110592801,1995,95.5
321846110592801,1996,89.1
321846110592801,1997,69.9
321846110592801,1998,69.7
321846110592801,1999,96.3
321846110592801,2000,131.8
321846110592801,2001,102.5
321846110592801,2002,134.7
321846110592801,2003,94.6
321846110592801,2004,99.41
321846110592801,2005,117.42
321846110592801,2006,119.33
321846110592801,2007,94.72
321846110592801,2008,79.92
321846110592801,2009,105.23
321846110592801,2010,124.91
321846110592801,2011,83.64
321846110592801,2012,43.19
321846110592801,2013,42.46
321846110592801,2014,42.36
321846110592801,2015,17.38
321846110592801,2016,36.15
321846110592801,2017,28.89
321846110592801,2018,40.37
321846110592801,2019,40.82
321859111155101,2004,2.0
321859111155101,2005,15.0
321859111155101,2007,184.07
321859111155101,2008,550.6
321859111155101,2009,395.58
321859111155101,2010,117.4
321859111155101,2011,297.53
321859111155101,2012,289.91
321859111155101,2013,417.73
321859111155101,2014,250.66
321859111155101,2015,419.99
321859111155101,2016,315.97
321859111155101,2017,321.17
321859111155101,2018,254.22
321859111155101,2019,248.45
321900111014001,1984,52.11
321900111014001,1985,481.0
321900111014001,1986,454.0
321900111014001,1987,398.0
321900111014001,1988,399.7
321900111014001,1989,609.4
321900111014001,1990,341.9
321900111014001,1991,524.52
321900111014001,1992,411.0
321900111014001,1993,658.0
321900111014001,1994,668.0
321900111014001,1995,451.7
321900111014001,1996,430.9
321900111014001,1997,321.0
321900111014001,1998,490.8
321900111014001,1999,503.5
321900111014001,2000,691.5
321900111014001,2001,447.2
321900111014001,2002,449.1
321900111014001,2003,179.8
321900111014001,2004,100.13499999999999
321900111014001,2005,531.08
321900111014001,2006,516.38
321900111014001,2007,205.685
321900111014001,2008,248.09
321900111014001,2009,218.25
321900111014001,2010,263.0
321900111014001,2011,317.07
321900111014001,2012,387.67
321900111014001,2013,602.24
321900111014001,2014,552.28
321900111014001,2015,521.0
321900111014001,2016,243.495
321900111014001,2017,496.88
321900111014001,2018,384.88
321900111014001,2019,432.14
322004110583804,1984,5.0
322004110583804,1985,109.0
322004110583804,1986,46.0
322004110583804,1987,106.0
322004110583804,1988,81.5
322004110583804,1989,37.3
322004110583804,1990,27.9
322004110583804,1991,35.86
322004110583804,1992,109.0
322004110583804,1993,310.0
322004110583804,1994,260.0
322004110583804,1995,91.0
322004110583804,1996,177.8
322004110583804,1997,114.6
322004110583804,1998,156.2
322018110585401,1984,67.05
322018110585401,1985,8.0
322018110585401,1986,43.0
322018110585401,1987,41.0
322018110585401,1988,135.0
322018110585401,1989,42.7
322018110585401,1990,267.1
322018110585401,1991,245.27
322018110585401,1992,205.0
322018110585401,1993,180.0
322018110585401,1994,257.0
322018110585401,1995,252.2
322018110585401,1996,207.3
322018110585401,1997,254.9
322018110585401,1998,182.8
322018110585401,1999,40.1
322018110585401,2000,24.6
322018110585401,2001,129.7
322018110585401,2002,243.1
322018110585401,2003,240.6
322018110585401,2004,237.25
322018110585401,2005,236.37
322018110585401,2006,233.42
322018110585401,2007,234.23
322018110585401,2008,172.64
322018110585401,2009,0.24
322039110593901,1987,25.0
322039110593901,1988,64.0
322039110593901,1989,235.0
322039110593901,1990,267.4
322039110593901,1991,257.33
322039110593901,1992,249.0
322039110593901,1993,53.0
